id,lane,v,x,y
1,12,4,19.375,-22.0
2,22,4,151.0,19.375
3,11,4,15.625,-84.0
4,32,4,5.625,73.0
5,42,4,-150.0,5.625
6,33,4,9.375,115.0
7,21,4,213.0,15.625
8,43,4,-188.0,9.375
9,21,4,219.0,15.625
10,43,4,-194.0,9.375
11,42,4,-156.0,5.625
12,22,4,157.0,19.375
13,32,4,5.625,79.0
14,12,4,19.375,-28.0
15,33,4,9.375,121.0
16,11,4,15.625,-90.0
17,12,4,19.375,-34.0
18,43,4,-200.0,9.375
19,32,4,5.625,85.0
20,33,4,9.375,127.0
21,42,4,-162.0,5.625
22,11,4,15.625,-96.0
23,21,4,225.0,15.625
24,22,4,163.0,19.375
25,12,4,19.375,-40.0
26,43,4,-206.0,9.375
27,42,4,-168.0,5.625
28,11,4,15.625,-102.0
29,21,4,231.0,15.625
30,33,4,9.375,133.0
31,32,4,5.625,91.0
32,22,4,169.0,19.375
33,33,4,9.375,139.0
34,22,4,175.0,19.375
35,32,4,5.625,97.0
36,42,4,-174.0,5.625
37,43,4,-212.0,9.375
38,12,4,19.375,-46.0
39,21,4,237.0,15.625
40,11,4,15.625,-108.0
41,33,4,9.375,145.0
42,43,4,-218.0,9.375
43,42,4,-180.0,5.625
44,12,4,19.375,-52.0
45,22,4,181.0,19.375
46,32,4,5.625,103.0
47,21,4,243.0,15.625
48,11,4,15.625,-114.0
49,32,4,5.625,109.0
50,43,4,-224.0,9.375
51,12,4,19.375,-58.0
52,42,4,-186.0,5.625
53,11,4,15.625,-120.0
54,33,4,9.375,151.0
55,21,4,249.0,15.625
56,22,4,187.0,19.375
57,22,4,193.0,19.375
58,42,4,-192.0,5.625
59,12,4,19.375,-64.0
60,21,4,255.0,15.625
61,32,4,5.625,115.0
62,43,4,-230.0,9.375
63,11,4,15.625,-126.0
64,33,4,9.375,157.0
65,12,4,19.375,-70.0
66,42,4,-198.0,5.625
67,32,4,5.625,121.0
68,11,4,15.625,-132.0
69,22,4,199.0,19.375
70,43,4,-236.0,9.375
71,21,4,261.0,15.625
72,33,4,9.375,163.0
73,11,4,15.625,-138.0
74,21,4,267.0,15.625
75,32,4,5.625,127.0
76,43,4,-242.0,9.375
77,12,4,19.375,-76.0
78,22,4,205.0,19.375
79,42,4,-204.0,5.625
80,33,4,9.375,169.0
81,32,4,5.625,133.0
82,22,4,211.0,19.375
83,42,4,-210.0,5.625
84,11,4,15.625,-144.0
85,12,4,19.375,-82.0
86,43,4,-248.0,9.375
87,33,4,9.375,175.0
88,21,4,273.0,15.625
89,21,4,279.0,15.625
90,42,4,-216.0,5.625
91,32,4,5.625,139.0
92,33,4,9.375,181.0
93,22,4,217.0,19.375
94,11,4,15.625,-150.0
95,12,4,19.375,-88.0
96,43,4,-254.0,9.375
97,42,4,-222.0,5.625
98,22,4,223.0,19.375
99,33,4,9.375,187.0
100,11,4,15.625,-156.0
