id,lane,v,x,y
1,22,10.91,126.81000000000003,19.375
2,21,8.87,134.5399999999999,15.625
3,11,11.45,15.625,-96.95000000000006
4,42,10.6,-115.20000000000005,5.625
5,21,10.27,142.83999999999992,15.625
6,11,10.2,15.625,-118.40000000000008
7,22,8.5,165.5,19.375
8,12,13.94,19.375,-102.42000000000002
9,21,10.09,154.36999999999998,15.625
10,33,13.0,9.375,147.0
11,22,8.2,169.95,19.375
12,43,13.25,-120.5,9.375
13,32,14.18,5.625,154.09999999999997
14,33,7.85,9.375,185.75000000000003
15,22,7.36,173.76999999999998,19.375
16,12,10.46,19.375,-158.15999999999997
17,42,10.67,-157.32000000000005,5.625
18,21,14.16,168.36,15.625
19,11,9.05,15.625,-172.84999999999997
20,33,9.79,9.375,195.63000000000002
21,22,12.09,188.73,19.375
22,11,8.06,15.625,-183.88
23,32,14.51,5.625,195.98000000000002
24,33,7.88,9.375,209.24
25,12,7.96,19.375,-192.04
26,11,7.02,15.625,-192.98
27,33,7.83,9.375,217.17
28,22,12.67,225.0,19.375
29,21,7.35,225.0,15.625
30,12,7.84,19.375,-200.0
