id,lane,v,x,y
1,21,8.56,136.50000000000009,15.625
2,42,11.27,-91.34000000000006,5.625
3,11,7.63,15.625,-98.61999999999995
4,12,11.21,19.375,-80.29000000000005
5,43,11.38,-97.58000000000004,9.375
6,32,14.04,5.625,98.64000000000007
7,33,14.52,9.375,94.31999999999995
8,22,12.81,109.70999999999998,19.375
9,12,13.14,19.375,-89.65000000000005
10,22,10.67,138.0699999999999,19.375
11,43,7.38,-127.24,9.375
12,33,13.88,9.375,113.96000000000004
13,11,8.09,15.625,-105.03999999999995
14,32,13.25,5.625,119.0
15,42,12.57,-99.44000000000005,5.625
16,21,8.26,141.4000000000001,15.625
17,33,13.83,9.375,128.1899999999999
18,11,9.58,15.625,-113.51999999999995
19,21,9.22,148.82000000000008,15.625
20,12,14.57,19.375,-98.01000000000005
21,43,7.15,-132.28,9.375
22,22,9.71,141.64999999999992,19.375
23,32,12.09,5.625,140.36999999999998
24,42,13.07,-108.51000000000005,5.625
25,43,7.84,-139.16,9.375
26,22,10.64,149.00999999999993,19.375
27,12,14.22,19.375,-114.68
28,21,11.14,158.16000000000008,15.625
29,42,10.66,-129.01999999999998,5.625
30,33,7.51,9.375,174.87999999999994
31,32,9.3,5.625,153.65
32,11,11.36,15.625,-122.57999999999996
33,33,8.52,9.375,182.39999999999995
34,12,8.52,19.375,-152.08
35,42,12.4,-137.99999999999997,5.625
36,32,9.96,5.625,160.47
37,21,9.57,177.15000000000003,15.625
38,43,9.08,-147.14,9.375
39,11,13.52,15.625,-132.39999999999995
40,22,13.11,159.44999999999993,19.375
41,11,10.77,15.625,-156.91999999999996
42,12,9.91,19.375,-160.36
43,21,8.69,190.24,15.625
44,22,11.3,178.04999999999998,19.375
45,43,9.89,-154.26,9.375
46,32,11.99,5.625,170.03
47,42,11.78,-152.88,5.625
48,33,8.07,9.375,192.72000000000003
49,32,14.69,5.625,180.93
50,11,10.06,15.625,-166.26
51,22,12.81,186.57,19.375
52,21,9.37,196.89,15.625
53,43,11.12,-162.22,9.375
54,33,8.23,9.375,200.31000000000003
55,12,8.43,19.375,-174.70999999999998
56,42,10.43,-168.70999999999998,5.625
57,21,8.75,207.5,15.625
58,11,12.09,15.625,-175.82
59,12,7.88,19.375,-184.24
60,22,12.25,200.5,19.375
61,42,10.42,-179.16000000000003,5.625
62,43,13.63,-172.74,9.375
63,32,12.64,5.625,199.72000000000003
64,33,8.85,9.375,207.3
65,22,12.5,212.5,19.375
66,32,13.98,5.625,211.02
67,11,14.02,15.625,-185.98
68,12,8.45,19.375,-191.55
69,42,8.99,-191.01,5.625
70,21,8.92,216.08,15.625
71,43,9.81,-190.19,9.375
72,33,8.73,9.375,216.27
73,42,7.08,-200.0,5.625
74,32,13.5,5.625,225.0
75,11,14.62,15.625,-200.0
76,43,10.29,-200.0,9.375
77,12,9.16,19.375,-200.0
78,33,7.49,9.375,225.0
79,22,7.28,225.0,19.375
80,21,9.15,225.0,15.625
